,Date,Close
0,2023-01-03,123.47061157226562
1,2023-01-04,124.74412536621094
2,2023-01-05,123.42125701904297
3,2023-01-06,127.96244049072266
4,2023-01-09,128.4856414794922
5,2023-01-10,129.05824279785156
6,2023-01-11,131.78294372558594
7,2023-01-12,131.70394897460938
8,2023-01-13,133.03668212890625
9,2023-01-17,134.2016143798828
10,2023-01-18,133.48094177246094
11,2023-01-19,133.54017639160156
12,2023-01-20,136.10693359375
13,2023-01-23,139.30551147460938
14,2023-01-24,140.70733642578125
15,2023-01-25,140.0458984375
16,2023-01-26,142.11907958984375
17,2023-01-27,144.06387329101562
18,2023-01-30,141.17132568359375
19,2023-01-31,142.44480895996094
20,2023-02-01,143.5702362060547
21,2023-02-02,148.89132690429688
22,2023-02-03,152.52426147460938
23,2023-02-06,149.7896728515625
24,2023-02-07,152.67233276367188
25,2023-02-08,149.9772491455078
26,2023-02-09,148.94065856933594
27,2023-02-10,149.3065185546875
28,2023-02-13,152.11448669433594
29,2023-02-14,151.47183227539062
30,2023-02-15,153.57778930664062
31,2023-02-16,151.97605895996094
32,2023-02-17,150.8291473388672
33,2023-02-21,146.8050537109375
34,2023-02-22,147.23019409179688
35,2023-02-23,147.71469116210938
36,2023-02-24,145.05503845214844
37,2023-02-27,146.2513885498047
38,2023-02-28,145.74713134765625
